Tweet,Etiket
Bana kısa cevap vermeyin çok sinir oluyorum ya,Negatif
samimi olmadığım biri ne yapıyorsun dediğinde istemsiz bir sinirleniyorum sanane lan ne yapıyorum,Negatif
Banko şampiyon olacağımız turnuvada sakatlık ve yedeğimiz yok diye diskalifiye olduk sinirden kafayı yiyeceğim,Negatif
Uzun süredir mesaj atmıyorsun çocuk sinirleniyorum,Negatif
Odadaki yeni kız beni sinir ediyor aslında şu an sadece uyuyor ama sinir oluyorum,Negatif
Askerliğimi bir tür tecil ettiremedim kafayı yiyeceğim sonunda gidicem askere,Negatif
Okuldan ciddi anlamda nefret ediyorum eskiden arkadaş var en azından derdim şimdi onlar da yok,Negatif
kendime sinir oluyorum bu aralar hep en olmaması gereken gereken neyse ben gidiyorum onu yapıyorum aptalım çünkü,Negatif
nefret ettiğim kişi sayısının fazlalığı beni de korkutmaya başladı resmen her şeye sinirlenip herkese sinir oluyorum,Negatif
Ya şu sevgililerin birbirine şifre verme olayına sinir oluyorum madem güvenmiyorsun ne diye sevgili sıfatın da,Negatif
Şu bölümü şurdan itibaren kesseydi kanal keşke vallahi sinir oluyorum daralıyorum,Negatif
birşey söyleyeceğim diyip 10 saat sonra yazanlara sinir oluyorum,Negatif
Oy beni vurun vurun nedir çektiğim zulüm diye bağıracağım şimdi,Negatif
sevdiğim insanlar yanımda değil ya çok sinir oluyorum,Negatif
Sabaha kadar küfür edeceğim okumak istemeyen takipten çıksın,Negatif
"Verdiğim değere karşılık alamayınca değil, nankörlük edilince sinir oluyorum",Negatif
Hande'yi artık bi salın. Gerçekten çok feci sinirleniyorum. Küfür edeceğim etmiyorum. Beni sınamayın.,Negatif
En çok da bilim ile ilgili konuşulurken işin içine din sokmalarına sinir oluyorum,Negatif
Yolda yavaş yürüyen insanlara sinir oluyorum özellikle yolun ortasındalarsa,Negatif
Kardeşim kumandayı saklamış daha sonra çarşıya gitmişler 3 saattir çizgi filme bakıyoruz kafayı yiyeceğim,Negatif
"birine sinirlenip tartışırken gözlerim dolup, yüzüm kızarıyor diye karşı tarafa güçsüz göründüğümü düşünüp tekrar sinirleniyorum",Negatif
Sürekli bir şeyleri sorguluyorum kafayı yiyeceğim,Negatif
Sinirleniyorum ama neye sinirlendiğimi ben de bilmiyorum karadenizli olmak gerçekten çok zor,Negatif
Sinirlendim bu kar ne zaman yağacak yağda oynayak lan,Negatif
ne olur dışarda tanımadığınız insanlarla senli benli konuşmayın kafayı yiyeceğim böyle ayılıklar görmek istemiyorum artık,Negatif
Kinci değilim ama Düşene vuranlara karşı düşürüp vurmak istiyorum,Negatif
Yanımda oturan kadın kendi kendine konuşuyor yemin ederim kafayı yiyeceğim,Negatif
Cidden evde kalmak bana iyi gelmiyor okulda hiç yoktan sinirimi ve nefretimi atabiliyorum evde iyice kafayı yiyeceğim,Negatif
Kasım ayında sivrisinek mi olur ya kafayı yiyeceğim artık,Negatif
Uzun zamandır en sinirli anımı yaşıyorum o kadar sinirliyim ki kafayı yiyeceğim şu an,Negatif
Bu gece birilerine salça olmazsam kafayı yiyeceğim habersiz gidenler sinirimi bozuyor,Negatif
Seni seven kalbim şu an senden nefret ediyor..,Negatif
Kimse sana güvenmiyor. Herkes senden nefret ediyor. Yeryüzündeki hastalıksın sen.,Negatif
Bence herkes maskelerini çıkartsın herkes birbirinden nefret ediyor SOYUNUN,Negatif
"Karakter varya herkeste, Sanırım ben de var, Dolaylı anlatımlardan nefret ediyor ve kale almıyorum.",Negatif
Herkes birbirlerinden nefret ediyor ama herkes birbirleriyle samimi.,Negatif
Yok ben bu şehirden nefret ediyorum insanlar saygısız,Negatif
Seni gördüğümde sana inanmışlığım aklıma geldikçe kendimden nefret ediyorum.,Negatif
Sebepsiz yere arıyorum çalarken açarsa ne diyiyeceğim diye düşünüyorum açmayınca da sinirleniyorum,Negatif
Ben mi herşeye çok kolay sinirleniyorum yoksa gerçekten insanlar çok mu sinir bozucu,Negatif
Saçma sapan konuklarla sıkıcı program yapıyorsunuz ,Negatif
Abi saçma sapan cezalar veriliyor,Negatif
Netimi saçma sapan şeylere harcıyorum,Negatif
Evet sizi bırakıp Mobile legends oynayıp küfür edeceğim ama geri gelicem,Negatif
ya kızım bu ne özgüven şimdi küfür edeceğim sabrımı zorlama,Negatif
Birşeyi arıyor ve bulamıyorsam direk sinirleniyorum sizede oluyo mu bir bende mi var bu,Negatif
Sistemli bir şekilde attığımız goller ofsayt diye verilmiyor Her hafta %100 penaltımız verilmiyor Yeter artık defol git ,Negatif
Aslı şu an sana çok sinirliyim niye üzüyorsun adamı hem kendin yapışıp hem nasıl öyle konuşuyorsun,Negatif
"çok sinirliyim şu an kırmızı lahananın rengi neden mor ya asla kabul etmiyorum böyle bir şeyi, onun rengi mor MOR",Negatif
Elit bir semtte oturmasam sokağa çıkıp bağıra bağıra küfür edeceğim sinirim bedenime sığmıyor..,Negatif
Bu saatte uyandırıldım ve sinirliyim.,Negatif
çok sinirliyim ama size değil belki de bir köpeğe bile olabilir,Negatif
biriyle tartıştığımı hayal ettim ve bu hayale kendimi biraz fazla kaptırdığım için sinirliyim şu an,Negatif
Vize haftasına girdim şu an dağa taşa havadaki oksijene her şeye sinirliyim,Negatif
En yakın arkadaşlarımı başkalarıyla paylaşmaya hiçbir şekilde dayanamam.Akşam akşam aşırı sinirliyim yine ,Negatif
Lan günün 16 saati sinirliyim kalan 8 saatte de uyuyorum zaten,Negatif
Bana beni geri ver defolup git nereye gidiyorsan git,Negatif
"İstediğin insanla mutlu ol, o yüzün hep gülsün ama lütfen artık defolup git şu aklımdan",Negatif
Her şeyin rahatsız ediyor beni nolur defolup git artık nereye gidiyorsan,Negatif
Madem durmak istemiyorsun hiç durmadan defolup git bu ülkeden mesela,Negatif
Hastalık bir defol git başımdan,Negatif
Biri bana defol git ders çalış yoksa kalacaksın diyebilir mi,Negatif
"Emeğe saygı göstermek bu kadar zor olmamalı! Paylaşmayın, izle filmini defol git!!",Negatif
Zihniyetini ayakta alkışlıyorum ego ne alaka kardeş sinir oluyorum boş insanları takip ediyorum diye.,Negatif
Çalışma saatlerimi bilmediğiniz veya karıştırdığınız zaman acayip sinir oluyorum.,Negatif
"Birşey anlatırken ""ben demiştim ama"" diyip duranlara sinir oluyorum. Ama aynı şey karşı tarafa olsa hiç çekinmem söylerim.",Negatif
Ya ben her şeye sinirleniyorum ya da her şey beni sinirlendirmek için var.,Negatif
"Şu 'Kore dizisi ne ya' diyen insanlara sinir oluyorum Türk dizisi, hint dizisi nasıl oluyorsa Kore dizisi de öyle oluyor neden anlamak istemiyorsun",Negatif
Benden not isteyenlere sinir oluyorum yüzlerine söylemesemde,Negatif
Sinir oluyorum kendime. Yine kötü olan herşeyi unuttum. ,Negatif
Yanaklarımı sıkan insanlara sinir oluyorum,Negatif
"Korece müziğe karşı herkes o kadar önyargılı ki, sinir oluyorum. Müzikte önemli olan dil değil; onun sana ne hissettirdiğidir, şunu bir anlatamadık... ",Negatif
çıldıracağım kafayı yiyeceğim,Negatif
1.5 seneye mezun olucam olana kadar her gün bu cübbenin içinde hangi renkler uyumlu gözükür diye düşünmekten kafayı yiyeceğim,Negatif
Hakaret ediyormuşum sinirinden geçilmiyor. Sen bana ne yaptın farkında mısın!,Negatif
2 gündür evdeyim kafayı yiyeceğim insanlar çalışmadan tüm gün napıyor acaba,Negatif
Anlaşılmıyor yazdıklarım anlaşılmıyor kafayı yiyeceğim,Negatif
sürekli sinirleniyorum artık akışına bıraktım neye sinirlendiğimi falan bilmiyorum,Negatif
Arabanın anahtarı annemde gitmiş Allah’ım kafayı yiyeceğim,Negatif
öğrenci kimliğimi kaybetmişim kafayı yiyeceğim bir ay uğraş şimdi,Negatif
Boncuk sabah 5'den beri çok kötü kafayı yiyeceğim,Negatif
Telefonuma birini isim soyisimle kaydetmem için sevmiyor veya nefret ediyor olmam lazım,Negatif
"Ellerim soyuluyor dedi, deri değiştiriyorsun normaldir sizde dedim sanırım benden nefret ediyor",Negatif
vallahi delireceğim nereye düştük böyle amk ya,Negatif
Sakin kalmaya çalıştıkça günden güne artan öfkemden nefret ediyorum.,Negatif
Ben demiştim demekten nefret ediyorum ama dedirtiyorsun... ,Negatif
kız kimle yakın arkadaş olsa ona duygu besliyor Allah'ım delireceğim yareppim,Negatif
Abi koca gursuda kiralık daire yok kafayı yiyeceğim ya,Negatif
Hiçbir boku bitmiyor ya çıldıracağım,Negatif
"Düşündükçe sinirleniyorum, sinirlendikçe düşünüyorum. Kısır döngü girdabındayım... ",Negatif
"Uyurken burnum kanamış heryer kan olmuş, daha uyanırken sinir küpü uyandım ",Negatif
Tam kavga edeceğim sinirden çarpıntım tutuyor,Negatif
ben bu sinirle fazla yaşamam diyorum yaşadıkça daha çok sinirleniyorum,Negatif
Alışveriş yapıcam zaman yokki yapim ne sinir bozucu ya,Negatif
Sinirlenince gözlerimin dolmasından nefret ediyorum,Negatif
Aç ve sinirliyim kurban olayım beni 1 hafta kadar yok sayın,Negatif
Gecenin saat 3ü sen yüksek seale gazap mı dinliyorsun küfür edeceğim,Negatif
Of ağzımdaki uyuşukluk geçmedi hala delireceğim,Negatif
Telefonumun ekranı öyle bir çizildi ki kırılmış gibi duruyor bu nedenle sinirliyim,Negatif
Passolig ben cezayı Bozüyük vitraspordan aldım ya Beşiktaş bayern maçına girememek ne delireceğim,Negatif
Millet ne der' diye düşünenlerden nefret ediyorum ,Negatif
Her siren sesinde içimi sızlatan amblans seslerinden nefret ediyorum.,Negatif
Ekilmekten nefret ediyorum!!!,Negatif
Allah'ım etraf beyinsiz kaynıyor çıldıracağım ya,Negatif
"Yaş henüz 20, kız evde kaldım diyor .. yok ben çıldıracağım artık, ne bu acele ?",Negatif
Yeter artık karşıma saçma sapan insanlar çıkmadan bitsin. Kabak tadı verdi hep aynı.,Negatif
salak mısın ya gerizekalı yemin ediyorum mal matematikten farkın yok,Negatif
Ela yokken hiçbir şey yapasım gelmiyor ya çıldıracağım,Negatif
Şu instastory izleyenler neye göre sıralanıyor ya yemin ederim çıldıracağım,Negatif
İstediğim ekleri bulamıyorum ya delireceğim,Negatif
Sınavdan sınava giriyorum kafayı yiyeceğim,Negatif
birinin kilosu ya da boyuyla dalga geçildiğini görünce bana küfür edilmiş kadar sinirleniyorum ,Negatif
Allah aşkına android için çevrimdışı müzik programı söyleyin kafayı yiyeceğim,Negatif
Gerizekali ben ne diyorum sen ne halt yapıyorsun delireceğim,Negatif
Şu PayPal’ı da ülkemizden kaldırdılar ya!!!!! O kadar öfkeliyim ki bu konuda!!! Geri getirin şunu yeter,Negatif
Karşımdakine ne kadar değer verirsem o kadar sinirleniyorum yaptığı yanlışlara,Negatif
Az önce sodayı açmaya çalışırken her yere döktüm sakar ve öfkeliyim şu an,Negatif
Pazar günlerinden nefret ediyorum,Negatif
Sol şeritte 90 lik yolda 50 sürüyor gerizekalı. Allah'ım sakin olamıyorum böylelerini görünce,Negatif
artık o kadar herşeye sinirleniyorum ki kendi saçımı başımı yolmamak için kendimi zor tutuyorum,Negatif
Alışveriş yapmam lazım çünkü sinirleniyorum.,Negatif
Beni sinirliyken eğlendirmeye çalışanlara daha çok sinirleniyorum.,Negatif
Çıkıp bağıra bağıra küfür edeceğim şimdi tutamıyorum artık kendimi,Negatif
Sinirleniyorum çünkü şu lanet üniversitede hiçbir karar mantıklı değil.,Negatif
Herşeye o kadar hızlı sinirleniyorum ki tahammül süremi çoktan aştık birtanem,Negatif
Benle alakası olamayan her şeye sinirleniyorum benle alakası olanlara zaten sinirleniyordum. Galiba menapoz,Negatif
Ya param yokken yapmayın şu indirimleri sinirleniyorum ,Negatif
Her şey bomboş ve çok saçma bugün çok öfkeliyim..,Negatif
Nasıl domuz eti yersin sen ya sinirden küplere bindim uyuyamıyorum !,Negatif
Kuş beyinli dicem kuşlara hakaret olur ama kuşların beyni var bunda o da yok amk ,Negatif
sürekli sinirleniyorum artık akışına bıraktım neye sinirlendiğimi falan bilmiyorum,Negatif
"Of her şeye, herkese anlamsızca öfkeliyim",Negatif
"Şu an çok sinirleniyorum her gebze haremi gördükçe, daha ne kadar akraba olma arabası geçecek?",Negatif
ben bir anda sinirleniyorum kendi kendime bunun sebebi ne,Negatif
"Hayat hiç beklediğim gibi gitmiyor ve ben buna çok sinirleniyorum, doktor hanım.",Negatif
Uykumu almadığım zaman kendimi çok agresif hissediyorum.,Negatif
Bugün kendimi Türkmenistan ile Hazar Denizi'ndeki kıta sahanlığından dolayı problem yaşayan Rusya gibi agresif hissediyorum.,Negatif
çok agresif hissediyorum şu an yani bilmiyorum belki de çişim olduğundandır,Negatif
Esra Erolu çileden çıkartan şalvarli gelin adayı kadar agresif hissediyorum,Negatif
Ay bugün kendimi işe yaramaz uyuz agresif hissediyorum,Negatif
Ayran içtim. Daha az agresif hissediyorum.,Negatif
Fragmanın gelmediği her an daha da agresif hissediyorum bir şeyler oldu bana,Negatif
bir yandan uzunu izlediğim için agresif hissediyorum kendimi. birazdan umarsızca koşmaya çıkacağım sinirimi atmak için.,Negatif
Bu siteye uğradığım zamanlar çok gergin ve agresif hissediyorum,Negatif
o kadar gerizekalı ve agresif hissediyorum ki tam timeline boşken millete sallayayım diyorum ama ben iyi biriyim,Negatif
Çok sinirliyim bana bulaşanı hücrelerine kadar parçalıyabilirim,Negatif
cidden bugün o kadar sinirliyim ki alnıma SATAŞMAYIN yazcam,Negatif
Bu nasıl bir hadsizlik Tüm filmde resmen sinirden küplere bindim. İslamı da yerden yere vurdu,Negatif
Çok sinirliyim her an camdan atlayabilirim,Negatif
Çok fena iftira atıldı üstüme şu an çok sinirliyim,Negatif
Sarılmayı sadece fiziksel olarak algılayanlara çok kızgınım. ,Negatif
Agresif oldum. Olur olmadık herşeye sinirlenir oldum,Negatif
Yüzüme karşı söyleyemeyip buradan laf gönderenlere sinir oluyorum kolaysa yüzüme söyle ,Negatif
beni seninle muhattap eden hayatın vizyonsuzluğuna da baya bir kızgınım.,Negatif
Herkese sinir oluyorum bu aralar niye böyle. ,Negatif
"Erzurumlu olmayan birine sinirlenince “çor, zıkkım, davun, gatıran” diyorum bir şey anlamıyor bu çok sinir bozucu :(",Negatif
Hala aramamış olman da çok sinir bozucu,Negatif
